CD4.	CD8.	mono	Bcells	NK	Gran
sample_2_1	0.128594787932	0.124672766154	0.0903533903106	0.0342286458932	0.00369454519765	0.618455864512
sample_2_2	0.136593783424	0.0948617731571	0.0545348163515	0.0206119937291	0.0428981063141	0.650499527024
sample_2_3	0.0603823329506	0.195366767926	0.0882297121409	0.0284740417649	0.0542533143657	0.573293830852
sample_2_4	0.0553960015318	0.0418116991042	0.0709637905028	0.0258093385561	0.0388637394989	0.767155430806
sample_2_5	0.0622176397484	0.148904186077	0.0849958126204	0.025801628279	0.0697815805778	0.608299152698
sample_2_6	0.103128243985	0.0955966554464	0.0424172849282	0.0293940539385	0.167949181861	0.56151457984
sample_2_7	0.189575483851	0.0554193294519	0.111922828008	0.0268400398462	0.0124475700202	0.603794748822
sample_2_8	0.100527255291	0.0522234295654	0.0777280221721	0.0240818121491	0.0107173435648	0.734722137258
sample_2_9	0.0906901459331	0.127443356164	0.0373177144501	0.0739352307813	0.0101368044022	0.66047674827
sample_2_10	0.130722760548	0.16557261623	0.0820460136004	0.00167863814969	0.0273629905653	0.592616980907
sample_2_11	0.0667484045894	0.185518504601	0.109639860837	0.0434942742737	0.178473746415	0.416125209284
sample_2_12	0.0834657222827	0.0313212201693	0.117761899584	0.0157414373456	0.0295260301109	0.722183690507
sample_2_13	0.084659146221	0.14428461099	0.11607473672	0.0491840879145	0.0569480924675	0.548849325686
sample_2_14	0.258030299232	0.126481406924	0.0885791875661	0.053489589506	0.0462947806639	0.427124736108
sample_2_15	0.161770162512	0.129939901097	0.0844490611446	0.0468354048693	0.106606699298	0.47039877108
sample_2_16	0.068516820597	0.105782654088	0.0800391853261	0.0517300951679	0.0482729649291	0.645658279892
sample_2_17	0.107427799477	0.0520863821493	0.0808813206391	0.0446637350155	0.0732970327106	0.641643730008
sample_2_18	0.224020701499	0.159896294257	0.0574066961713	0.080210755262	0.00157811140404	0.476887441406
sample_2_19	0.0356632626759	0.117748544281	0.0769853891557	0.0258196231125	0.0688864646682	0.674896716107
sample_2_20	0.020992678735	0.0240832379231	0.0410191826722	0.0203744917147	0.00729495772091	0.886235451234
sample_2_21	0.0381528983345	0.165794180036	0.116481450229	0.0172892758427	0.0466368571474	0.61564533841
sample_2_22	0.149045433382	0.159830945306	0.0842208652017	0.0256891837138	0.00463405882718	0.576579513568
sample_2_23	0.147612077316	0.169692175442	0.0751154686211	0.0262772774663	2.8295135603e-18	0.581303001154
sample_2_24	0.0453729350538	0.254105850815	0.0648063651041	0.0273897810076	0	0.60832506802
sample_2_25	0.0546014374373	0.239047256737	0.107289999682	0.0769913796811	0.0656151821183	0.456454744345
sample_2_26	0.0570253799519	0.0705579253205	0.128158310507	0.00533450654679	0.0290858712493	0.709838006424
sample_2_27	0.0217839783527	0.143711782182	0.0733772449135	0.043405174558	0	0.717721819994
sample_2_28	0.113280476074	0.120082108152	0.0792521509877	0.0385146612541	0	0.648870603533
sample_2_29	0.107214778702	0.119358591936	0.0820011116868	0.0591122278937	0.0858953682614	0.54641792152
sample_2_30	0.0767192996815	0.0163113828722	0.0830409165015	0.0336702392526	0.311225596555	0.479032565137
sample_2_31	0.0945448821487	0.109324194579	0.0970600672589	0.0230289516374	0.0289674776223	0.647074426754
sample_2_32	0.0880198403423	0.127000842182	0.0877456653828	0.0491519930759	0.171210745544	0.476870913473
sample_2_33	0.177608600865	0.136093858025	0.0726160176588	0.0763551251495	0.0180955687495	0.519230829553
sample_2_34	0.0312312352671	0.0630838540528	0.0876824394659	0.0312964013141	3.01050020278e-05	0.786675964898
sample_2_35	0.230226928999	0.168003511912	0.0508600725307	0.0298472636695	0.0430684543374	0.477993768552
sample_2_36	0.0829245589417	0.139979808443	0.0566250109402	0.0179185572546	0.0892882867578	0.613263777663
sample_2_37	0.156626620524	0.139730372634	0.0694934726624	0.0585170063905	0.130828997514	0.444803530275
sample_2_38	0.247491242272	0.173223189763	0.0153773422945	0.0885384364261	0.0234517975158	0.451917991729
sample_2_39	0.101369737712	0.191480173064	0.0457303881723	0.0485412272926	0.0722454174454	0.540633056314
sample_2_40	0.164628463655	0.110664642984	0.0912987230852	0.0264911326324	0.0227419635175	0.584175074125
sample_2_41	0.0948302408922	0.104624300841	0.146376887956	0.0347019041041	0	0.619466666207
sample_2_42	0.0892053247947	0.115614810517	0.0770091724931	0.0306128061717	0.0537044966624	0.633853389362
sample_2_43	0.0947149280619	0.141798280088	0.0434801168672	0.0374281383208	0.0410097938916	0.641568742771
sample_2_44	0.0504302031532	0.0677750478412	0.117518886513	0.00814890469767	0.0464715489457	0.709655408849
sample_2_45	0.0547825405075	0.0987962632226	0.0681266498351	0.0348829730351	0.0788583178561	0.664553255544
sample_2_46	0.138888776687	0.152002306687	0.0771255154063	0.0558206347834	0.0440048867312	0.532157879706
sample_2_47	0.0993383700542	0.0353927165353	0.0255791024206	0.0225331414913	0.109314949244	0.707841720254
sample_2_48	0.0367578314607	0.260320706608	0.0414816287859	0.112251409277	0.0400443570363	0.509144066831
sample_2_49	0.270794105754	0.0723923573276	0.0800657163813	0.0256854324266	0.0437840673102	0.5072783208
sample_2_50	0.146171171931	0.0079565314966	0.0576863214755	0.051292229837	0.0677280153124	0.669165729948
sample_2_51	0.186623872178	0.161975975356	0.0901769634481	0.0954169591188	1.62223750058e-17	0.465806229899
sample_2_52	0.109382035741	0.177591752019	0.0773933483641	0.0665798223306	3.39084229445e-17	0.569053041545
sample_2_53	0.174000828698	0.151379726153	0.0385786853948	0.0262717521376	4.93237873098e-18	0.609769007616
sample_2_54	0.0393477696649	0.155743872773	0.146637137996	0.0144234128192	0.0574980096989	0.586349797048
sample_2_55	0.0600285603017	0.104916345645	0.0782083133619	0.0392561495185	0.0129282865411	0.704662344632
sample_2_56	0.0981123310982	0.125622220453	0.0813589581346	0.0593446330404	0.0317573054284	0.603804551845
sample_2_57	0.141579434411	0.1350403308	0.0715442796418	0.022561714453	0.0258018798715	0.603472360822
sample_2_58	0.163238149063	0.205496797343	0.065983524316	0.10936000284	0.114368545434	0.341552981005
sample_2_59	0.19910924232	0.15353505336	0.0717997331031	0.0264001460139	0.0925650830727	0.45659074213
sample_2_60	0.14168191676	0.220064402863	0.0585560622778	0.030525737115	0.0503318121074	0.498840068876
sample_2_61	0.0347610421796	0.214326894738	0.0814101311903	0.0570911201881	0.0629944641303	0.549416347573
